Var1,Var2,Var3
83332.Rv2937,83332.Rv2936,999
83332.Rv2938,83332.Rv2936,998
83332.Rv2946c,83332.Rv2947c,996
83332.Rv2947c,83332.Rv2946c,996
83332.Rv2987c,83332.Rv2988c,999
83332.Rv2987c,83332.Rv2995c,998
83332.Rv2988c,83332.Rv2987c,999
83332.Rv2988c,83332.Rv2995c,998
83332.Rv2995c,83332.Rv2987c,998
83332.Rv2995c,83332.Rv2988c,998
83332.Rv3001c,83332.Rv0189c,999
83332.Rv3001c,83332.Rv3002c,998
83332.Rv3001c,83332.Rv3003c,999
83332.Rv3002c,83332.Rv3001c,998
83332.Rv3002c,83332.Rv3003c,999
83332.Rv3003c,83332.Rv3001c,999
83332.Rv3003c,83332.Rv3002c,999
83332.Rv3009c,83332.Rv3011c,999
83332.Rv3011c,83332.Rv3009c,999
83332.Rv3011c,83332.Rv3012c,997
83332.Rv3012c,83332.Rv3011c,997
83332.Rv3028c,83332.Rv3029c,999
83332.Rv3029c,83332.Rv3028c,999
83332.Rv3043c,83332.Rv2193,999
83332.Rv3043c,83332.Rv2200c,997
83332.Rv3048c,83332.Rv3051c,998
83332.Rv3051c,83332.Rv1981c,997
83332.Rv3051c,83332.Rv3048c,998
83332.Rv3051c,83332.Rv3052c,996
83332.Rv3052c,83332.Rv3051c,996
83332.Rv3132c,83332.Rv3133c,998
83332.Rv3133c,83332.Rv3132c,998
83332.Rv3145,83332.Rv3146,999
83332.Rv3145,83332.Rv3147,999
83332.Rv3145,83332.Rv3148,999
83332.Rv3145,83332.Rv3149,998
83332.Rv3145,83332.Rv3150,999
83332.Rv3145,83332.Rv3151,997
83332.Rv3145,83332.Rv3152,999
83332.Rv3145,83332.Rv3153,997
83332.Rv3145,83332.Rv3155,999
83332.Rv3145,83332.Rv3156,998
83332.Rv3145,83332.Rv3157,998
83332.Rv3145,83332.Rv3158,999
83332.Rv3146,83332.Rv3145,999
83332.Rv3146,83332.Rv3147,999
83332.Rv3146,83332.Rv3148,999
83332.Rv3146,83332.Rv3149,999
83332.Rv3146,83332.Rv3150,999
83332.Rv3146,83332.Rv3151,999
83332.Rv3146,83332.Rv3152,999
83332.Rv3146,83332.Rv3153,999
83332.Rv3146,83332.Rv3155,998
83332.Rv3146,83332.Rv3156,997
83332.Rv3146,83332.Rv3157,997
83332.Rv3146,83332.Rv3158,996
83332.Rv3147,83332.Rv3145,999
83332.Rv3147,83332.Rv3146,999
83332.Rv3147,83332.Rv3148,999
83332.Rv3147,83332.Rv3149,999
83332.Rv3147,83332.Rv3150,999
83332.Rv3147,83332.Rv3151,999
83332.Rv3147,83332.Rv3152,998
83332.Rv3147,83332.Rv3153,999
83332.Rv3147,83332.Rv3155,996
83332.Rv3147,83332.Rv3156,997
83332.Rv3147,83332.Rv3157,996
83332.Rv3147,83332.Rv3158,997
83332.Rv3148,83332.Rv3145,999
83332.Rv3148,83332.Rv3146,999
83332.Rv3148,83332.Rv3147,999
83332.Rv3148,83332.Rv3149,999
83332.Rv3148,83332.Rv3150,999
83332.Rv3148,83332.Rv3151,999
83332.Rv3148,83332.Rv3152,999
83332.Rv3148,83332.Rv3153,999
83332.Rv3148,83332.Rv3154,998
83332.Rv3148,83332.Rv3155,999
83332.Rv3148,83332.Rv3156,999
83332.Rv3148,83332.Rv3157,999
83332.Rv3148,83332.Rv3158,999
83332.Rv3149,83332.Rv3145,998
83332.Rv3149,83332.Rv3146,999
83332.Rv3149,83332.Rv3147,999
83332.Rv3149,83332.Rv3148,999
83332.Rv3149,83332.Rv3150,999
83332.Rv3149,83332.Rv3151,999
83332.Rv3149,83332.Rv3152,998
83332.Rv3149,83332.Rv3153,999
83332.Rv3149,83332.Rv3155,997
83332.Rv3149,83332.Rv3156,997
83332.Rv3149,83332.Rv3158,996
83332.Rv3150,83332.Rv3145,999
83332.Rv3150,83332.Rv3146,999
83332.Rv3150,83332.Rv3147,999
83332.Rv3150,83332.Rv3148,999
83332.Rv3150,83332.Rv3149,999
83332.Rv3150,83332.Rv3151,999
83332.Rv3150,83332.Rv3152,999
83332.Rv3150,83332.Rv3153,999
83332.Rv3150,83332.Rv3155,999
83332.Rv3150,83332.Rv3156,998
83332.Rv3150,83332.Rv3157,998
83332.Rv3150,83332.Rv3158,997
83332.Rv3151,83332.Rv3145,997
83332.Rv3151,83332.Rv3146,999
83332.Rv3151,83332.Rv3147,999
83332.Rv3151,83332.Rv3148,999
83332.Rv3151,83332.Rv3149,999
83332.Rv3151,83332.Rv3150,999
83332.Rv3151,83332.Rv3152,997
83332.Rv3151,83332.Rv3153,999
83332.Rv3151,83332.Rv3156,997
83332.Rv3152,83332.Rv3145,999
83332.Rv3152,83332.Rv3146,999
83332.Rv3152,83332.Rv3147,998
83332.Rv3152,83332.Rv3148,999
83332.Rv3152,83332.Rv3149,998
83332.Rv3152,83332.Rv3150,999
83332.Rv3152,83332.Rv3151,997
83332.Rv3152,83332.Rv3153,999
83332.Rv3152,83332.Rv3154,999
83332.Rv3152,83332.Rv3155,999
83332.Rv3152,83332.Rv3156,999
83332.Rv3152,83332.Rv3157,999
83332.Rv3152,83332.Rv3158,999
83332.Rv3153,83332.Rv3145,997
83332.Rv3153,83332.Rv3146,999
83332.Rv3153,83332.Rv3147,999
83332.Rv3153,83332.Rv3148,999
83332.Rv3153,83332.Rv3149,999
83332.Rv3153,83332.Rv3150,999
83332.Rv3153,83332.Rv3151,999
83332.Rv3153,83332.Rv3152,999
83332.Rv3153,83332.Rv3154,999
83332.Rv3153,83332.Rv3155,999
83332.Rv3153,83332.Rv3156,999
83332.Rv3153,83332.Rv3157,999
83332.Rv3153,83332.Rv3158,999
83332.Rv3154,83332.Rv3148,998
83332.Rv3154,83332.Rv3152,999
83332.Rv3154,83332.Rv3153,999
83332.Rv3154,83332.Rv3155,999
83332.Rv3154,83332.Rv3156,998
83332.Rv3154,83332.Rv3157,998
83332.Rv3154,83332.Rv3158,999
83332.Rv3155,83332.Rv3145,999
83332.Rv3155,83332.Rv3146,998
83332.Rv3155,83332.Rv3147,996
83332.Rv3155,83332.Rv3148,999
83332.Rv3155,83332.Rv3149,997
83332.Rv3155,83332.Rv3150,999
83332.Rv3155,83332.Rv3152,999
83332.Rv3155,83332.Rv3153,999
83332.Rv3155,83332.Rv3154,999
83332.Rv3155,83332.Rv3156,999
83332.Rv3155,83332.Rv3157,999
83332.Rv3155,83332.Rv3158,999
83332.Rv3156,83332.Rv3145,998
83332.Rv3156,83332.Rv3146,997
83332.Rv3156,83332.Rv3147,997
83332.Rv3156,83332.Rv3148,999
83332.Rv3156,83332.Rv3149,997
83332.Rv3156,83332.Rv3150,998
83332.Rv3156,83332.Rv3151,997
83332.Rv3156,83332.Rv3152,999
83332.Rv3156,83332.Rv3153,999
83332.Rv3156,83332.Rv3154,998
83332.Rv3156,83332.Rv3155,999
83332.Rv3156,83332.Rv3157,999
83332.Rv3156,83332.Rv3158,999
83332.Rv3157,83332.Rv3145,998
83332.Rv3157,83332.Rv3146,997
83332.Rv3157,83332.Rv3147,996
83332.Rv3157,83332.Rv3148,999
83332.Rv3157,83332.Rv3150,998
83332.Rv3157,83332.Rv3152,999
83332.Rv3157,83332.Rv3153,999
83332.Rv3157,83332.Rv3154,998
83332.Rv3157,83332.Rv3155,999
83332.Rv3157,83332.Rv3156,999
83332.Rv3157,83332.Rv3158,999
83332.Rv3158,83332.Rv3145,999
83332.Rv3158,83332.Rv3146,996
83332.Rv3158,83332.Rv3147,997
83332.Rv3158,83332.Rv3148,999
83332.Rv3158,83332.Rv3149,996
83332.Rv3158,83332.Rv3150,997
83332.Rv3158,83332.Rv3152,999
83332.Rv3158,83332.Rv3153,999
83332.Rv3158,83332.Rv3154,999
83332.Rv3158,83332.Rv3155,999
83332.Rv3158,83332.Rv3156,999
83332.Rv3158,83332.Rv3157,999
83332.Rv3227,83332.Rv2539c,999
83332.Rv3236c,83332.Rv3237c,997
83332.Rv3237c,83332.Rv3236c,997
83332.Rv3261,83332.Rv3262,997
83332.Rv3262,83332.Rv3261,997
83332.Rv3266c,83332.Rv3465,999
83332.Rv3275c,83332.Rv0772,996
83332.Rv3275c,83332.Rv3276c,999
83332.Rv3276c,83332.Rv3275c,999
83332.Rv3314c,83332.Rv3315c,999
83332.Rv3315c,83332.Rv3314c,999
83332.Rv3316,83332.Rv3317,999
83332.Rv3316,83332.Rv3319,996
83332.Rv3317,83332.Rv3316,999
83332.Rv3317,83332.Rv3319,996
83332.Rv3318,83332.Rv3319,999
83332.Rv3319,83332.Rv3316,996
83332.Rv3319,83332.Rv3317,996
83332.Rv3319,83332.Rv3318,999
83332.Rv3340,83332.Rv3341,998
83332.Rv3341,83332.Rv3340,998
83332.Rv3357,83332.Rv3358,998
83332.Rv3358,83332.Rv3357,998
83332.Rv3372,83332.Rv3490,998
83332.Rv3396c,83332.Rv1843c,996
83332.Rv3396c,83332.Rv3411c,999
83332.Rv3400,83332.Rv3401,999
83332.Rv3401,83332.Rv3400,999
83332.Rv3411c,83332.Rv3396c,999
83332.Rv3417c,83332.Rv3418c,999
83332.Rv3418c,83332.Rv0440,999
83332.Rv3418c,83332.Rv3417c,999
83332.Rv3419c,83332.Rv3421c,996
83332.Rv3421c,83332.Rv3419c,996
83332.Rv3442c,83332.Rv3443c,998
83332.Rv3443c,83332.Rv3442c,998
83332.Rv3456c,83332.Rv0722,999
83332.Rv3456c,83332.Rv3457c,997
83332.Rv3457c,83332.Rv0667,999
83332.Rv3457c,83332.Rv0668,998
83332.Rv3457c,83332.Rv3456c,997
83332.Rv3457c,83332.Rv3676,999
83332.Rv3458c,83332.Rv0718,997
83332.Rv3458c,83332.Rv3459c,999
83332.Rv3458c,83332.Rv3460c,999
83332.Rv3459c,83332.Rv0718,997
83332.Rv3459c,83332.Rv0721,996
83332.Rv3459c,83332.Rv3458c,999
83332.Rv3459c,83332.Rv3460c,999
83332.Rv3460c,83332.Rv0721,997
83332.Rv3460c,83332.Rv3458c,999
83332.Rv3460c,83332.Rv3459c,999
83332.Rv3464,83332.Rv0334,998
83332.Rv3464,83332.Rv3465,999
83332.Rv3465,83332.Rv0334,996
83332.Rv3465,83332.Rv3266c,999
83332.Rv3465,83332.Rv3464,999
83332.Rv3490,83332.Rv3372,998
83332.Rv3534c,83332.Rv3535c,997
83332.Rv3534c,83332.Rv3536c,997
83332.Rv3535c,83332.Rv3534c,997
83332.Rv3536c,83332.Rv3534c,997
83332.Rv3551,83332.Rv3552,998
83332.Rv3552,83332.Rv3551,998
83332.Rv3581c,83332.Rv3582c,999
83332.Rv3582c,83332.Rv3581c,999
83332.Rv3600c,83332.Rv3602c,996
83332.Rv3601c,83332.Rv3602c,999
83332.Rv3602c,83332.Rv3600c,996
83332.Rv3602c,83332.Rv3601c,999
83332.Rv3606c,83332.Rv1207,996
83332.Rv3606c,83332.Rv3607c,999
83332.Rv3606c,83332.Rv3608c,999
83332.Rv3607c,83332.Rv3606c,999
83332.Rv3607c,83332.Rv3608c,999
83332.Rv3608c,83332.Rv3606c,999
83332.Rv3608c,83332.Rv3607c,999
83332.Rv3663c,83332.Rv3664c,997
83332.Rv3664c,83332.Rv3663c,997
83332.Rv3665c,83332.Rv3666c,997
83332.Rv3666c,83332.Rv3665c,997
83332.Rv3676,83332.Rv3457c,999
83332.Rv3701c,83332.Rv3703c,998
83332.Rv3703c,83332.Rv3701c,998
83332.Rv3708c,83332.Rv3709c,999
83332.Rv3709c,83332.Rv3708c,999
83332.Rv3712,83332.Rv3713,997
83332.Rv3713,83332.Rv3712,997
83332.Rv3756c,83332.Rv3757c,997
83332.Rv3756c,83332.Rv3758c,998
83332.Rv3756c,83332.Rv3759c,999
83332.Rv3757c,83332.Rv3756c,997
83332.Rv3757c,83332.Rv3758c,998
83332.Rv3757c,83332.Rv3759c,999
83332.Rv3758c,83332.Rv3756c,998
83332.Rv3758c,83332.Rv3757c,998
83332.Rv3758c,83332.Rv3759c,997
83332.Rv3759c,83332.Rv3756c,999
83332.Rv3759c,83332.Rv3757c,999
83332.Rv3759c,83332.Rv3758c,997
83332.Rv3781,83332.Rv3783,999
83332.Rv3783,83332.Rv3781,999
83332.Rv3858c,83332.Rv3859c,999
83332.Rv3859c,83332.Rv3858c,999
83332.Rv3874,83332.Rv3875,999
83332.Rv3875,83332.Rv3874,999
83332.Rv3913,83332.Rv3914,999
83332.Rv3914,83332.Rv3913,999
83332.Rv3917c,83332.Rv3918c,998
83332.Rv3918c,83332.Rv3917c,998
